Year,Month,Day,Hour,Minute,Location,Latitude,Longitude,Magnitude,Deaths,Injuries,Damage in Millions,Damage Scale,Number of Houses Destroyed ,Scale of houses destroyed,Number of Houses Damaged,Scale of houses  damaged
2014,3,29,4,10,"CALIFORNIA: LA HABRA, BREA, FULLERTON",33.863,-117.835,5.1,,,10.8,3,,,20,1
1980,1,24,19,0,CALIFORNIA: LIVERMORE,37.855,-121.816,5.9,,50,11.5,3,,,,
1989,10,18,0,4,CALIFORNIA: LOMA PRIETA,37.036,-121.883,6.9,62,3757,5600,4,,3,,
2001,9,9,23,59,CALIFORNIA: LOS ANGELES,34.059,-118.387,4.2,,,,1,,,,
2008,7,29,18,42,CALIFORNIA: LOS ANGELES,33.953,-117.761,5.4,,8,,1,,,,1
1999,10,16,9,46,"CALIFORNIA: LUDLOW, LANDERS, TWENTYNINE PALMS",34.594,-116.271,7.2,,4,,1,,,,
1980,5,25,16,33,CALIFORNIA: MAMMOTH LAKES,37.6,-118.84,6.1,,7,2,2,,,,
2007,7,20,11,42,CALIFORNIA: MONTCLAIR,37.804,-122.193,4.2,,,,1,,,,
2000,9,3,8,36,CALIFORNIA: NAPA,38.379,-122.413,5,,41,50,4,,,,
2014,8,24,10,20,"CALIFORNIA: NAPA, VALLEJO",38.216,-122.312,6.1,1,257,700,4,160,3,1034,4
1980,11,8,10,27,CALIFORNIA: NORTH COAST,41.117,-124.253,7.2,5,,2.75,2,,,,
1994,9,1,15,15,CALIFORNIA: NORTH: HONEYDEW,40.402,-125.68,7,,,,1,,,,
1994,1,17,12,30,CALIFORNIA: NORTHRIDGE,34.213,-118.537,6.7,60,7000,40000,4,40000,4,,
2010,6,15,4,26,CALIFORNIA: OCOTILLO,32.7,-115.921,5.8,,,,1,,,,1
2005,6,15,2,50,CALIFORNIA: OFF COAST NORTHERN,41.301,-125.97,7.2,,,,,,,,
2010,1,10,0,27,CALIFORNIA: OFF COAST NORTHERN,40.652,-124.692,6.5,,30,21.8,3,,,,
1975,8,1,20,20,CALIFORNIA: OROVILLE,39.439,-121.528,5.6,,10,3,2,,,,
1973,2,21,14,45,CALIFORNIA: OXNARD,34.1,-119,5.7,,,1,2,,,,
1986,7,8,9,20,CALIFORNIA: PALM SPRINGS,34,-116.61,6,,29,4.5,2,,,,
2003,12,22,19,15,"CALIFORNIA: PASO ROBLES,TEMPLETON,ATASCADERO",35.706,-121.102,6.6,2,40,300,4,40,1,,
2019,7,6,3,19,CALIFORNIA: RIDGECREST,35.766,-117.605,7.1,,,5300,4,101,3,287,3
2019,7,4,17,33,CALIFORNIA: RIDGECREST; NEVADA,35.705,-117.506,6.4,1,,,2,,,,1
1990,2,28,23,43,"CALIFORNIA: S, CLAREMONT, COVINA",34.14,-117.7,5.5,,30,12.7,3,,,,
1986,7,13,13,47,"CALIFORNIA: SAN DIEGO, NEWPORT BEACH",32.97,-117.869,5.8,,,0.7,1,,,,
1971,2,9,14,0,CALIFORNIA: SAN FERNANDO,34.412,-118.4,6.5,65,2000,505,4,,,,
2007,10,31,3,4,CALIFORNIA: SAN JOSE,37.434,-121.774,5.6,,,,1,,,,
1969,10,2,4,56,CALIFORNIA: SANTA ROSA,38.467,-122.692,4.8,1,,8.35,3,,,,
1978,8,13,22,54,CALIFORNIA: SOUTHERN,34.35,-119.7,5.6,,65,15,3,,,,
1987,11,24,1,54,CALIFORNIA: SUPERSTITION HILLS,33.082,-115.775,6.2,2,,3,2,,,,
1981,4,26,12,9,"CALIFORNIA: WESTMORLAND,CALIPATRIA",33.133,-115.65,6,,,1.5,2,,,,
1987,10,1,14,42,CALIFORNIA: WHITTIER,34.061,-118.078,5.7,8,200,358,4,,,,
1987,10,4,10,59,"CALIFORNIA: WHITTIER, PASADENA",34.07,-118.1,4.8,1,,,2,,,,
1992,6,28,15,5,"CALIFORNIA: BIG BEAR LAKE, BIG BEAR CITY",34.203,-116.827,6.7,,,,2,,,,
